tubercle_amplitude,tubercle_wavelength,tubercle_shape,root_chord,tip_chord,sweep_angle,angle_of_attack,airspeed,separation_x_over_c
0,0,none,1,1,0,0,15,100
0,0,none,1,1,0,5,15,100
0,0,none,1,1,0,10,15,100
0,0,none,1,1,0,15,15,73.79
0,0,none,1,1,0,20,15,11.11
0,0,none,1,1,0,0,30,100
0,0,none,1,1,0,5,30,100
0,0,none,1,1,0,10,30,100
0,0,none,1,1,0,15,30,81.73
0,0,none,1,1,0,20,30,8.02
0,0,cambered,1,1,0,0,15,100
0,0,cambered,1,1,0,5,15,100
0,0,cambered,1,1,0,10,15,100
0,0,cambered,1,1,0,15,15,100
0,0,cambered,1,1,0,20,15,53.2
0,0,cambered,1,1,0,0,30,100
0,0,cambered,1,1,0,5,30,100
0,0,cambered,1,1,0,10,30,100
0,0,cambered,1,1,0,15,30,61.7
0,0,cambered,1,1,0,20,30,45
26.247,49.607,biomimetic,1,1,0,0,15,100
26.247,49.607,biomimetic,1,1,0,5,15,100
26.247,49.607,biomimetic,1,1,0,10,15,46.3
26.247,49.607,biomimetic,1,1,0,15,15,33.1
26.247,49.607,biomimetic,1,1,0,20,15,33.1
26.247,49.607,biomimetic,1,1,0,0,30,100
26.247,49.607,biomimetic,1,1,0,5,30,21.9
26.247,49.607,biomimetic,1,1,0,10,30,33.1
26.247,49.607,biomimetic,1,1,0,15,30,33.1
26.247,49.607,biomimetic,1,1,0,20,30,0.331