airfoil_family,tubercle_amplitude,tubercle_wavelength,tubercle_shape,root_chord,tip_chord,sweep_angle,angle_of_attack,airspeed,separation_x_over_c,data_source
symmetric,0,0,none,1,1,0,0,15,1,OpenFOAM
symmetric,0,0,none,1,1,0,5,15,1,OpenFOAM
symmetric,0,0,none,1,1,0,10,15,1,OpenFOAM
symmetric,0,0,none,1,1,0,15,15,0.7379,OpenFOAM
symmetric,0,0,none,1,1,0,20,15,0.1111,OpenFOAM
symmetric,0,0,none,1,1,0,0,30,1,OpenFOAM
symmetric,0,0,none,1,1,0,5,30,1,OpenFOAM
symmetric,0,0,none,1,1,0,10,30,1,OpenFOAM
symmetric,0,0,none,1,1,0,15,30,0.8173,OpenFOAM
symmetric,0,0,none,1,1,0,20,30,0.0802,OpenFOAM
cambered,0,0,none,1,1,0,0,15,1,OpenFOAM
cambered,0,0,none,1,1,0,5,15,1,OpenFOAM
cambered,0,0,none,1,1,0,10,15,1,OpenFOAM
cambered,0,0,none,1,1,0,15,15,1,OpenFOAM
cambered,0,0,none,1,1,0,20,15,0.532,OpenFOAM
cambered,0,0,none,1,1,0,0,30,1,OpenFOAM
cambered,0,0,none,1,1,0,5,30,1,OpenFOAM
cambered,0,0,none,1,1,0,10,30,1,OpenFOAM
cambered,0,0,none,1,1,0,15,30,0.617,OpenFOAM
cambered,0,0,none,1,1,0,20,30,0.45,OpenFOAM
cambered,26.247,49.607,whale,1,1,0,0,15,1,OpenFOAM
cambered,26.247,49.607,whale,1,1,0,5,15,1,OpenFOAM
cambered,26.247,49.607,whale,1,1,0,10,15,0.463,OpenFOAM
cambered,26.247,49.607,whale,1,1,0,15,15,0.331,OpenFOAM
cambered,26.247,49.607,whale,1,1,0,20,15,0.331,OpenFOAM
cambered,26.247,49.607,whale,1,1,0,0,30,1,OpenFOAM
cambered,26.247,49.607,whale,1,1,0,5,30,0.219,OpenFOAM
cambered,26.247,49.607,whale,1,1,0,10,30,0.331,OpenFOAM
cambered,26.247,49.607,whale,1,1,0,15,30,0.331,OpenFOAM
cambered,26.247,49.607,whale,1,1,0,20,30,0.331,OpenFOAM